Kategorie,Kat-1,Kat-2,Kat-3,Kat-4,Kat-5+,LWQ alle,LWQ 1,LWQ 2,LWQ 3,LWQ 4,LWQ 5+
2005,257,457,505,270,97,0.01152,0.021917107,0.018313697,0.012992359,0.015601525,0.008419408
2006,199,365,546,275,86,0.0141,0.017063968,0.014626327,0.014021932,0.015744876,0.00740996
2007,192,330,572,272,102,0.014,0.01650619,0.013273802,0.014674945,0.015489749,0.00870976
2008,156,255,533,265,85,0.0124,0.013506494,0.010299285,0.013651615,0.015032902,0.007226048
2009,143,201,371,200,54,0.0092,0.012445605,0.008136005,0.009484852,0.011296244,0.004582874
2010,124,158,317,148,36,0.0074,0.010789176,0.006391586,0.008079315,0.008295034,0.003054212
2011,94,115,171,92,50,0.005,0.00820674,0.004652104,0.004350481,0.005127348,0.004221903
2012,119,102,159,86,34,0.0047,0.010383944,0.00409162,0.004029397,0.004764543,0.002865571
2013,58,91,136,55,21,0.0034,0.00506064,0.003645687,0.003442864,0.003040522,0.00176352
2014,25,51,93,48,28,0.0023,0.002385041,0.002079256,0.002330827,0.002570143,0.002191095
2015,52,84,107,79,39,0.0034,0.00486618,0.00338901,0.002667132,0.004188981,0.003041884
