Jahr	Höhenlagen im Jura	Agglomeration	Stadt Basel	Stark verkehrsexponiert
1991	2.7	5.4	5.9	5.6
1992	2.7	5.4	5.3	5.6
1993	2.1	4.8	5.3	5.6
1994	2.1	4.5	5.4	5.1
1995	2.1	4.8	4.4	5.1
1996	2.7	5.3	5.3	4.7
1997	2.1	4.8	5.1	5.3
1998	2.1	3.9	4.2	4.95
1999	2.1	3.9	4.1	5.27
2000	2.1	3.9	4.1	4.9
2001	2.1	3.4	4.2	4.7
2002	2.1	3.75	4.2	4.7
2003	2.1	4.05	4.2	5.57
2004	2.1	3.75	3.6	5.07
2005	2.1	3.75	4.2	5.1
2006	2.1	3.75	4.8	5.37
2007	2	2.9	3.8	4.67
2008	1.4	3.05	3.8	4.47
2009	1.4	3.05	3.8	4.67
2010	1.5	3.15	3.9	4.7
2011	1.4	2.9	3.8	4.73
2012	1.4	2.65	3.2	4.37
2013	1.5	2.7	3.2	4.47
2014	1.4	2.35	3.2	4.03
2015	1.5	3	3.3	4.17
2016	1.4	2.15	3.2	3.83
2017	1.4	2.1	3.3	4.37
2018	1.5	2.18	3.3	4.25
2019	1.5	2.13	3.3	3.78
2020	1.4	1.83	2.8	3.28
2021	1.4	1.85	2.75	3.13
2022	1.4	2.13	2.75	3.13
2023	1.4	1.85	2.3	2.98
