Jahr	Trinkwasserbezug öffentliches Netz	Private Grundwasserförderungen
1989	8.43	13.55
1990	8.01	13.88
1991	7.28	12.54
1992	7.46	12.87
1993	7.25	12.7
1994	6.62	13.04
1995	6.42	13.33
1996	6	11.99
1997	6.24	10.76
1998	6.22	8.7
1999	5.94	10.78
2000	5.52	10.45
2001	5.45	9.28
2002	5.72	9.72
2003	5.34	9.43
2004	5.21	8.74
2005	4.21	8.72
2006	4.38	10.82
2007	4.29	10.31
2008	4.79	9.08
2009	5.26	10.55
2010	5.81	8.93
2011	5.47	9.64
2012	5.45	8.81
2013	5.2	9.81
2014	4.89	9.41
2015	8.34	9.86
2016	7.76	10.91
2017	7.87	11.06
2018	8.38	11.19
2019	8.4	10.52
2020	8.37	11.93
2021	7.56	11.36
2022	8.45	12.42
