	Sehr häufig	Ziemlich häufig	Manchmal	Nie	Weiss nicht	Keine Angabe
*Befragungsjahr					
2023 (N=2 054)	3.5	5.8	29.7	41.7	2.8	16.6
*Alter					
18-29 Jahre (n=316)	6.5	8.2	31	5	20.5	3.1	30.2
30-39 Jahre (n=361)	5.4	7.4	33.0	24.9	3.7	25.6
40-49 Jahre (n=391)	2.6	5.4	29.7	42.5	2.4	17.4
50-59 Jahre (n=288)	2.8	5.7	26.0	49.5	1.7	14.4
60-69 Jahre (n=336)	1.7	4.6	27.6	55.7	2.7	7.7
>69 Jahre (n=362)	1.8	3.7	29.8	56.6	3.4	4.8
*Haushaltseinkommen					
<3 000 Fr. (n=193)	9.9	8.6	38.7	33.1	7.0	2.7
3 000-7 499 Fr. (n=632)	3.4	8.0	40.8	44.0	2.5	1.1
>7 499 Fr. (n=658)	2.4	4.7	31.3	60.4	0.9	0.2
*Haushaltsform					
Single Haushalte (n=559)	5.7	8.1	40.6	31.5	3.4	10.6
Haushalte ohne Kind (n=1 017)	2.4	4.7	26.7	46.8	3.1	16.4
Haushalte mit mind. 1 Kind (n=477)	3.0	5.5	23.3	42.6	1.6	24.0
