JAHR	Pestalozzi	Kannenfeld	Landskron	Lysbüchel	Friedmattviertel
2004	3681	1903	6859	1577	3860
2005	3649	1909	6842	1516	3826
2006	3623	1943	6820	1456	3848
2007	3672	1935	6785	1442	3804
2008	3702	1958	6892	1441	3807
2009	3685	1946	6925	1566	3875
2010	3715	1954	6916	1825	3856
2011	3675	1944	7046	1973	3827
2012	3696	1976	7073	2060	3833
2013	3751	1988	7220	2057	3857
2014	3759	1989	7215	2023	3972
2015	3703	1952	7189	2047	3919
2016	3685	2003	7056	2056	3958
2017	3694	1985	7017	2021	3963
2018	3807	1982	6985	1952	3958
2019	3778	1946	6796	2020	3962
2020	3802	1981	6900	2080	3980
2021	3813	1928	6768	2108	4246
2022	3783	1963	6873	2402	4299
2023	3771	1906	6757	2695	4350
