Alter	Männer Friedmattviertel	Frauen Friedmattviertel	Männer Kannenfeld	Frauen Kannenfeld	Männer Landskron	Frauen Landskron	Männer Lysbüchel	Frauen Lysbüchel	Männer Pestalozzi	Frauen Pestalozzi
0-4	123	96	53	33	139	132	125	100	51	75
5-9	123	131	43	46	121	147	94	87	73	60
10-14	147	105	22	28	129	122	67	65	65	68
15-19	114	132	27	39	131	141	35	34	45	67
20-24	96	142	55	74	218	251	66	73	104	150
25-29	132	136	74	71	346	375	116	140	190	230
30-34	138	155	94	93	373	373	174	175	185	229
35-39	126	138	72	97	319	272	167	156	155	170
40-44	151	162	75	62	307	271	146	124	137	151
45-49	139	133	60	52	292	191	101	88	126	125
50-54	115	128	64	55	249	215	88	52	98	114
55-59	107	129	62	68	247	203	83	49	116	122
60-64	108	140	53	64	204	171	63	57	94	119
65-69	98	124	51	47	150	135	36	35	75	88
70-74	90	88	31	44	85	98	29	19	61	68
75-79	70	96	23	34	65	98	12	11	57	67
80-84	68	109	14	39	43	59	7	13	35	52
85-89	37	83	6	28	20	41	2	3	23	56
90-94	26	79	13	27	5	15	1	2	10	36
95 u.m.	6	30	2	11	1	3			6	18
