"JAHR"	"Pestalozzi"	"Kannenfeld"	"Landskron"	"Lysbüchel"	"Friedmattviertel"	"Stadt Basel"
2000	33.4609	29.8121	50.1794	62.8334	26.8070	29.4171
2001	33.6436	28.7551	50.2833	60.9830	28.4873	29.8282
2002	34.0934	29.6794	50.9170	60.7673	30.0844	30.6928
2003	33.7106	29.2463	51.8174	57.9794	30.2236	31.2406
2004	33.8223	29.3221	51.7131	57.5777	30.4922	31.7215
2005	34.8315	30.3300	51.0669	57.0580	30.9200	32.2189
2006	36.3787	30.5198	50.9677	57.3489	31.6528	32.9197
2007	36.5468	31.0078	49.1231	56.0333	31.6246	32.9627
2008	37.1691	31.4096	49.1004	53.0881	32.0725	33.3922
2009	37.9919	32.2199	49.7473	54.4700	32.5161	34.1011
2010	37.6312	32.0368	49.1614	53.6438	33.2469	34.1639
2011	37.0340	33.4877	49.4465	55.2965	33.6556	34.8611
2012	37.0400	34.5648	48.9467	56.8447	35.0378	35.3653
2013	38.9496	34.5070	49.5429	57.4137	36.0124	36.0134
2014	39.1594	34.8919	49.1615	56.3025	36.4804	36.3741
2015	38.7524	34.6824	48.6299	56.9126	35.6468	36.6360
2016	38.8874	35.9960	48.2993	56.8580	35.6241	37.0133
2017	38.1159	35.7683	47.6557	56.9520	35.8567	37.2626
2018	38.9283	36.7810	47.8168	58.1967	36.1294	37.6829
2019	39.2006	38.3864	47.3514	56.0396	36.1181	37.8004
2020	38.9006	38.6673	47.7681	55.1442	35.2513	38.1908
2021	38.6572	37.3963	46.7642	52.2770	34.6208	38.0880
2022	39.7568	37.7993	47.6793	49.9584	35.4501	39.1422
2023	40.0424	37.7754	48.0687	48.3117	36.2529	39.6034

