Steuerjahr	Mittelwert Friedmattviertel	Median Friedmattviertel	Mittelwert Kannenfeld	Median Kannenfeld	Mittelwert Landskron	Median Landskron	Mittelwert Lysbüchel	Median Lysbüchel	Mittelwert Pestalozzi	Median Pestalozzi
2005	238116	13580.0	212049	14488.5	58422	672.0	30645	0.0	113825	6000.0
2006	253470	11217.5	201828	12815.0	54291	899.0	30991	0.0	96692	5879.0
2007	270340	11970.0	206455	13202.0	54671	1171.0	28242	0.0	91209	5993.5
2008	197522	12301.5	192851	14008.5	52149	844.0	30649	0.0	88977	6135.0
2009	208614	12560.0	186692	12461.5	55921	1049.0	33586	0.0	97567	7764.0
2010	212655	11541.0	197091	14295.5	60179	1245.0	39343	331.0	104536	7863.5
2011	181891	11958.0	203613	14659.0	59537	1593.0	43894	991.0	103666	8521.0
2012	193392	13103.5	239983	16322.0	59795	2273.0	52804	1556.0	111285	10626.5
2013	199122	12374.0	249537	17288.0	60946	2245.5	75753	2608.5	120867	10665.0
2014	217047	13231.5	265933	16449.0	66122	2312.0	76356	3815.5	136734	13651.5
2015	184041	13207.0	270278	15966.0	69742	2862.0	81244	3773.0	143665	13985.0
2016	197501	14784.0	300900	20884.0	71909	3202.0	96782	5189.0	170459	14922.0
2017	216222	15761.0	280295	19092.5	76814	3425.5	107432	5768.0	172004	17270.0
2018	218260	14765.0	339608	20607.0	79736	3607.0	118048	7101.5	159825	16443.0
2019	213889	13652.0	344208	25290.5	86285	4174.0	106946	6427.0	167871	15330.0
2020	215600	14614.5	358007	26384.0	89164	5214.0	115798	8417.0	181610	19442.5
2021	232211	17213.5	356919	27595.0	94373	6352.0	127829	10000.0	190077	21299.0
