JAHR	Stadt Basel	Wohnviertel St. Johann	Bezirk Pestalozzi	Bezirk Kannenfeld	Bezirk Landskron	Bezirk Lysbüchel	Bezirk Friedmatt
2013	41.1736481204080	36.7587533666790	39.0485841199330	42.6453488372090	32.7203389830500	36.5317460317460	39.2278957269550
2014	40.8007065632260	36.5522486409310	39.0350344827580	42.6526537046760	32.5656245497760	35.8351648351640	38.8243315508020
2015	40.5526462953040	36.5324775921210	38.8961656870970	42.2938972162740	32.6421327151550	35.7756001959820	39.0224932249320
2016	40.3736495527230	36.3675564681720	38.4962301033230	41.5261233019850	32.8215184253360	35.3871757219770	38.6412459720730
2017	40.1243078142660	36.1504914004910	38.2038644637350	41.3558700209640	32.5846612062540	35.3426294820710	38.3907177549910
2018	40.1076519934370	36.3246782316730	38.1045059717690	41.3681434599150	32.8854870178590	35.8311755567060	38.4212662337660
2019	40.5321683599410	36.7329101008950	38.8274725274720	42.0442286947140	33.4726345083480	35.5149670218160	38.3550822324070
2020	40.6370673185800	36.9031475631760	39.2465488680280	41.9760892667370	33.7188173698790	35.4519326065410	38.4043642241370
2021	40.8031527561970	36.8732817630360	39.1215846994530	42.0676041103290	33.7846607669610	35.9279454722490	37.8827238335430
2022	40.7107239083350	36.8782798040280	39.0808945334060	41.8214285714280	33.9107088063820	35.4248726655340	38.2578789394690
2023	40.7475136641600	36.7662274543680	38.8823692992210	42.7172717271720	34.2295902408500	34.5294561933530	37.6804529788280
