"Jahr"	"Pestalozzi"	"Kannenfeld"	"Landskron"	"Lysbüchel"	"Friedmatt"
"2013"	0.0049673217	0.0024153533	0.0064482284	0.0559411135	0.0257218737
"2014"	0.0051950851	0.0023873680	0.0066339728	0.0551519724	0.0259646476
"2015"	0.0050158809	0.0023429088	0.0066066781	0.0541141586	0.0258585706
"2016"	0.0047850775	0.0024412556	0.0065821880	0.0652697560	0.0262800353
"2017"	0.0047475020	0.0024304618	0.0060923575	0.0655630570	0.0259357278
"2018"	0.0048990218	0.0023819941	0.0058550603	0.0644920843	0.0279357672
"2019"	0.0045196895	0.0030344960	0.0056843376	0.0624689472	0.0265838947
"2020"	0.0047869038	0.0032620653	0.0058488449	0.0625510549	0.0269624127
"2021"	0.0043293501	0.0031524911	0.0065286387	0.0604298464	0.0269665793
"2022"	0.0046463710	0.0032091897	0.0068304744	0.0592025962	0.0260650080

