schuljahr	St. Johann: Schweiz	St. Johann: Ausland	St. Johann: Total	Stadt Basel: Schweiz	Stadt Basel: Ausland	Stadt Basel: Total
2010	45.61	17.07	33.67	47.59	21.85	39.47
2011	40.45	16.67	31.16	47.67	20.05	38.79
2012	44.69	11.67	31.44	46.11	18.23	37.05
2013	46.55	11.11	31.07	44.99	18.57	36.24
2014	46.47	14.18	31.83	45.07	21.62	37.12
2015	47.10	13.18	31.69	45.32	19.97	36.50
2016	48.75	20.69	36.96	49.57	22.51	40.53
2017	48.97	18.87	36.25	50.85	25.51	42.68
2018	48.55	18.75	36.32	47.57	22.64	39.31
2019	47.26	21.65	37.04	45.13	24.90	38.50
2020	38.51	15.63	30.37	44.93	23.08	37.61
2021	39.55	18.69	31.69	44.23	21.61	36.11
2022	42.70	20.63	33.76	42.68	22.82	35.72
2023	41.63	17.95	33.13	41.30	26.88	36.48
2024	37.50	13.08	28.76	42.12	26.83	36.73
