"schuljahr"	"Pestalozzi"	"Lysbüchel"	"Landskron"	"Kannenfeld"	"Friedmatt"	"Stadt Basel"
"2014"	47.852760736	21.666666667	29.723991507	61.386138614	33.55704698	45.7
"2015"	48.554913295	28.448275862	29.872881356	58.695652174	30.283911672	45.6
"2016"	54.938271605	30.769230769	30.885529158	52.808988764	32.721712538	46.1
"2017"	53.614457831	33.846153846	31.390134529	55.434782609	32.93768546	46.3
"2018"	58.333333333	32.653061224	31.319910515	53.191489362	35.652173913	46.2
"2019"	58.080808081	32.386363636	30.861244019	57.954545455	35.833333333	46.6
"2020"	58.571428571	31.147540984	31.100478469	57.547169811	37.150837989	47.4
"2021"	61.751152074	31.868131868	34.643734644	58.181818182	39.410187668	47.2
"2022"	60.377358491	40.298507463	34.698795181	52.380952381	42.1875	46.6
"2023"	59.585492228	45.945945946	32.512315271	57.723577236	41.755319149	46.6

