"JahrBezirk"	"Parkanlage/Spielplatz"	"Gartenanlage"	"Sportanlage humusiert"	"Gewässervorland humusiert"	"Schrebergarten"	"Acker/Wiese/Weide"	"Reben"	"übrige humusierte"
"2005: Pestalozzi"	22390.41	24862.68						2095.33
"2005: Kannenfeld"		18672.24						
"2005: Landskron"		31096.76						4.91
"2005: Lysbüchel"	12222.04	12999.56			18787.62			4601.10
"2005: Friedmatt"	73817.32	246127.24	6694.83		91023.57	17625.63	669.650	17632.23
"."								
"2010: Pestalozzi"	22363.07	26720.46						2095.33
"2010: Kannenfeld"		19578.55						
"2010: Landskron"		31839.34						4.91
"2010: Lysbüchel"	11862.71	11899.21			18789.31			4326.73
"2010: Friedmatt"	73931.75	251539.77	6297.05		91023.61	17689.64	669.650	18236.20
".."								
"2015: Pestalozzi"	21840.88	26395.51						2095.31
"2015: Kannenfeld"		19513.04						
"2015: Landskron"		31266.31						1559.58
"2015: Lysbüchel"	8805.12	16294.44			18808.54			7850.00
"2015: Friedmatt"	73932.42	250829.16			90940.40	16559.00	669.665	23638.56
"..."								
"2020: Pestalozzi"	21840.87	28349.09						2095.31
"2020: Kannenfeld"		19395.18						
"2020: Landskron"		31020.49						1559.62
"2020: Lysbüchel"	6280.38	52427.33		210.242	18825.89			7545.24
"2020: Friedmatt"	73438.91	249284.26			90872.05	8988.29		23600.85
"...."								
"2023: Pestalozzi"	21840.85	28350.08						2095.31
"2023: Kannenfeld"		19423.19						
"2023: Landskron"		31582.17						2919.34
"2023: Lysbüchel"	55210.94	42126.87		210.241	18825.89			14045.21
"2023: Friedmatt"	73438.91	251926.30			81168.76	4868.71		34832.65
"....."								

