""	"BS"	"BL"	"AG"	"ZH"
"2013-1"	32891	18915	12207	8099
"2013-2"	33444	19140	12460	8308
"2013-3"	33808	19318	12663	8534
"2013-4"	33642	19403	12752	8532
"2014-1"	33722	19489	12862	8687
"2014-2"	34305	19780	13081	8870
"2014-3"	34738	20063	13324	9025
"2014-4"	34590	19983	13293	9011
"2015-1"	34665	20071	13327	9154
"2015-2"	35121	20414	13427	9328
"2015-3"	35330	20653	13703	9517
"2015-4"	34988	20601	13615	9480
"2016-1"	35300	20565	13795	9680
"2016-2"	35758	20762	14013	9747
"2016-3"	35939	20951	14100	9904
"2016-4"	35742	20810	14026	9913
"2017-1"	35335	20828	13989	9951
"2017-2"	35748	21061	14130	10125
"2017-3"	35976	21507	14243	10271
"2017-4"	35662	21461	14220	10169
"2018-1"	35000	21481	14101	10158
"2018-2"	35234	21813	14053	10202
"2018-3"	35008	21977	14083	10232
"2018-4"	34299	21775	14000	10229
"2019-1"	34082	21769	13993	10272
"2019-2"	34424	22033	14177	10522
"2019-3"	34656	22361	14295	10583
"2019-4"	34547	22338	14211	10645
"2020-1"	34414	22342	14262	10647
"2020-2"	34474	22299	14246	10628
"2020-3"	34683	22494	14276	10731
"2020-4"	34321	22569	14231	10728
"2021-1"	34363	22554	14327	10870
"2021-2"	34280	22758	14549	10897
"2021-3"	34445	23011	14656	10963
"2021-4"	34745	23137	14642	11048
"2022-1"	34808	23417	14743	11024
"2022-2"	34853	23639	14829	11147
"2022-3"	35320	24135	14931	11229
"2022-4"	35541	24252	15185	11284

