Jahr	 Kanton Basel-Stadt	 Kanton Genf	 Stadt Zürich	 Schweiz
2000	100	100	100	100
2001	102.3737	101.6901408	105.1	103.2
2002	103.3714	103.8028169	105.3	104.1
2003	104.113	105.3521127	105.8	104.3
2004	104.6831	106.4788732	105.6	105.3
2005	105.7198	108.3098592	107.2	106.9
2006	107.2310686	110.2816901	107.9	109.3
2007	108.5492159	112.2535211	109.7	112
2008	111.122367	114.7887324	114.2	114.6
2009	113.7916152	117.6056338	117	117.6
2010	114.805313	120.2816901	117.5	118.7
2011	116.2556707	122.8169014	118	120.1
2012	117.2384991	125.7746479	118.1	121
2013	118.0291382	128.1690141	118.1	121.3
2014	118.7225249	129.8591549	118.7	122.6
2015	120.2892152	131.8309859	119.7	124.1
2016	121.7729408	133.3802817	119.9	124.1
2017	123.6084429	135.2112676	121.1	125.7
2018	124.9637938	137.0422535	120.7	126.5
2019	126.5407251	138.4507042	121.6	127.1
2020	128.1326459	140.1408451	122	128.6
2021	129.3795142	141.2676056	121.6	129.8
2022	130.5596902	142.9577465	122.2	131.6
2023	132.1082284	145.3521127	122.6	133.4
2024	136.6924065	148.1690141	128.8	138
2025	139.0264837	151.1267606	132.2	141.5		
