Jahr-Halbjahr	Unter Wohnschutgesetzgebung fallende Projekte mit Schlagwort "Umbau/Sanierung/Renovation"	Andere Umbauprojekte mit Schlagwort "Umbau/Sanierung/Renovation"
2018-H1	76714228	27358789
2018-H2	103290999	35666986
2019-H1	71552966	53351130
2019-H2	52901957	18968322
2020-H1	94489135	35566068
2020-H2	81341630	19638285
2021-H1	150604140	53353144
2021-H2	182429500	44568710
2022-H1	194571298	35467733
2022-H2	50734661	24226902
2023-H1	23787840	26874042
2023-H2	109047286	39895892
2024-H1	48549813	30428000
2024-H2	37098595	21614376
