"Jahr"	"Basel"	"Bern"	"Genf"	"Lausanne"	"Winterthur"	"Zürich"	"Schweiz"
2004	1.52	0.47	0.13	0.24	0.67	0.10	0.91
2005	1.58	0.53	0.20	0.28	0.32	0.07	0.99
2006	1.42	0.50	0.13	0.24	0.45	0.13	1.06
2007	1.40	0.41	0.19	0.33	0.47	0.09	1.07
2008	1.24	0.38	0.18	0.07	0.13	0.03	0.97
2009	0.92	0.60	0.21	0.11	0.30	0.05	0.90
2010	0.77	0.45	0.25	0.17	0.44	0.07	0.92
2011	0.49	0.45	0.27	0.12	0.24	0.06	0.94
2012	0.47	0.44	0.30	0.14	0.16	0.10	0.94
2013	0.33	0.39	0.39	0.15	0.15	0.11	0.96
2014	0.20	0.49	0.43	0.08	0.20	0.22	1.07
2015	0.31	0.41	0.50	0.14	0.58	0.22	1.18
2016	0.40	0.46	0.51	0.30	0.59	0.22	1.30
2017	0.47	0.57	0.57	0.40	0.66	0.21	1.45
2018	0.69	0.45	0.62	0.68	0.56	0.20	1.60
2019	1.01	0.56	0.63	0.35	0.75	0.14	1.66
2020	0.96	0.58	0.60	0.50	0.56	0.15	1.72
2021	1.14	0.54	0.68	0.72	0.41	0.17	1.54
2022	1.19	0.57	0.47	0.49	0.37	0.07	1.31
2023	1.07	0.45	0.52	0.52	0.19	0.06	1.15
2024	0.77	0.44	0.54	0.55	0.14	0.07	1.08

