statistikjahr	Grünfläche	Verkehrsfläche	Gebäude	Gewässer	Übrige befestigte Flächen	nicht zugeordnet	Anteil Grünfläche	Anteil Gebäudefläche	Anteil Verkehrsfläche	Anteil Gewässerfläche	Anteil übrige befestigte Flächen
2002	6289198	5398008	5531678	207738	3582009	0	29.94	26.33	25.69	0.99	17.05
2003	6321939	5345331	5549141	148576	3643789	0	30.09	26.41	25.44	0.71	17.34
2004	6333090	5326959	5561192	135614	3651919	0	30.14	26.47	25.36	0.65	17.38
2005	6366843	5321193	5477222	135849	3707153	0	30.31	26.07	25.33	0.65	17.65
2006	6401643	5322809	5419296	136460	3728047	0	30.47	25.8	25.34	0.65	17.75
2007	6428838	5328572	5389340	135929	3725111	0	30.6	25.65	25.36	0.65	17.73
2008	6409160	5375076	5244236	137127	3843182	0	30.51	24.96	25.58	0.65	18.29
2009	6409632	5372403	5245688	136637	3844418	0	30.51	24.97	25.57	0.65	18.3
2010	6416042	5386742	5307269	136642	3762035	0	30.54	25.26	25.64	0.65	17.91
2011	6441078	5372387	5301612	136668	3757034	0	30.66	25.24	25.57	0.65	17.88
2012	6453312	5362222	5278896	136344	3778007	0	30.72	25.13	25.52	0.65	17.98
2013	6527505	5294195	5260345	136332	3790411	0	31.07	25.04	25.2	0.65	18.04
2014	6549324	5250763	5249349	136208	3823282	0	31.17	24.99	24.99	0.65	18.2
2015	6537944	5263172	5250178	136227	3821405	0	31.12	24.99	25.05	0.65	18.19
2016	6572747	5262642	5258704	136242	3778591	0	31.29	25.03	25.05	0.65	17.99
2017	6694971	5161201	5260265	136245	3756244	0	31.87	25.04	24.57	0.65	17.88
2018	6708530	5163425	5261024	136390	3739556	0	31.93	25.04	24.58	0.65	17.8
2019	6719007	5155520	5270814	136038	3727547	0	31.98	25.09	24.54	0.65	17.74
2020	6706123	5157253	5259179	136507	3749863	0	31.92	25.03	24.55	0.65	17.85
2021	6754742	5108884	5274257	144483	3722441	4120	32.15	25.1	24.32	0.69	17.72
2022	6733966	5094222	5282533	144483	3749602	4120	32.05	25.14	24.25	0.69	17.85
2023	6736710	5133054	5304315	144462	3686265	4120	32.07	25.25	24.43	0.69	17.55
2024	6741832	5134147	5321215	144525	3663086	4120	32.09	25.33	24.44	0.69	17.44
