""	"15-24 Jahre"	"50 Jahre u.m."	"Total"
"2013-01"	0.050	0.031	0.041
"2013-02"	0.048	0.031	0.040
"2013-03"	0.047	0.031	0.039
"2013-04"	0.045	0.029	0.038
"2013-05"	0.041	0.029	0.036
"2013-06"	0.036	0.028	0.035
"2013-07"	0.043	0.027	0.035
"2013-08"	0.049	0.027	0.035
"2013-09"	0.047	0.029	0.036
"2013-10"	0.047	0.029	0.036
"2013-11"	0.049	0.030	0.037
"2013-12"	0.052	0.031	0.039
"2014-01"	0.053	0.030	0.037
"2014-02"	0.049	0.030	0.037
"2014-03"	0.046	0.029	0.036
"2014-04"	0.041	0.028	0.034
"2014-05"	0.037	0.028	0.032
"2014-06"	0.035	0.028	0.031
"2014-07"	0.041	0.027	0.031
"2014-08"	0.047	0.026	0.031
"2014-09"	0.047	0.026	0.032
"2014-10"	0.045	0.026	0.033
"2014-11"	0.045	0.028	0.035
"2014-12"	0.048	0.029	0.037
"2015-01"	0.051	0.031	0.039
"2015-02"	0.048	0.030	0.038
"2015-03"	0.046	0.030	0.038
"2015-04"	0.044	0.029	0.037
"2015-05"	0.041	0.029	0.035
"2015-06"	0.040	0.029	0.035
"2015-07"	0.039	0.028	0.034
"2015-08"	0.048	0.028	0.035
"2015-09"	0.049	0.029	0.036
"2015-10"	0.047	0.028	0.036
"2015-11"	0.047	0.030	0.037
"2015-12"	0.045	0.031	0.038
"2016-01"	0.045	0.032	0.040
"2016-02"	0.048	0.031	0.041
"2016-03"	0.045	0.031	0.040
"2016-04"	0.046	0.032	0.040
"2016-05"	0.044	0.032	0.039
"2016-06"	0.042	0.031	0.038
"2016-07"	0.044	0.030	0.036
"2016-08"	0.049	0.030	0.037
"2016-09"	0.045	0.030	0.037
"2016-10"	0.045	0.031	0.037
"2016-11"	0.043	0.032	0.039
"2016-12"	0.043	0.034	0.041
"2017-01"	0.049	0.032	0.040
"2017-02"	0.048	0.031	0.039
"2017-03"	0.048	0.030	0.039
"2017-04"	0.045	0.029	0.037
"2017-05"	0.040	0.028	0.035
"2017-06"	0.038	0.028	0.035
"2017-07"	0.040	0.027	0.034
"2017-08"	0.052	0.026	0.035
"2017-09"	0.048	0.025	0.033
"2017-10"	0.046	0.026	0.034
"2017-11"	0.043	0.026	0.034
"2017-12"	0.043	0.027	0.036
"2018-01"	0.045	0.027	0.037
"2018-02"	0.039	0.026	0.035
"2018-03"	0.034	0.027	0.035
"2018-04"	0.033	0.026	0.033
"2018-05"	0.036	0.026	0.032
"2018-06"	0.037	0.025	0.031
"2018-07"	0.043	0.024	0.031
"2018-08"	0.044	0.024	0.031
"2018-09"	0.041	0.023	0.030
"2018-10"	0.039	0.023	0.030
"2018-11"	0.035	0.025	0.031
"2018-12"	0.036	0.026	0.033
"2019-01"	0.035	0.028	0.034
"2019-02"	0.033	0.027	0.033
"2019-03"	0.033	0.026	0.032
"2019-04"	0.030	0.025	0.031
"2019-05"	0.029	0.025	0.029
"2019-06"	0.030	0.024	0.028
"2019-07"	0.033	0.024	0.028
"2019-08"	0.035	0.023	0.028
"2019-09"	0.031	0.023	0.027
"2019-10"	0.031	0.024	0.027
"2019-11"	0.033	0.025	0.029
"2019-12"	0.036	0.027	0.031
"2020-01"	0.042	0.028	0.033
"2020-02"	0.039	0.029	0.033
"2020-03"	0.043	0.030	0.036
"2020-04"	0.047	0.032	0.039
"2020-05"	0.053	0.032	0.041
"2020-06"	0.055	0.032	0.041
"2020-07"	0.062	0.033	0.042
"2020-08"	0.058	0.032	0.041
"2020-09"	0.052	0.032	0.040
"2020-10"	0.049	0.032	0.040
"2020-11"	0.048	0.035	0.041
"2020-12"	0.050	0.037	0.044
"2021-01"	0.048	0.038	0.045
"2021-02"	0.049	0.037	0.044
"2021-03"	0.051	0.038	0.044
"2021-04"	0.043	0.038	0.042
"2021-05"	0.039	0.038	0.040
"2021-06"	0.041	0.037	0.039
"2021-07"	0.047	0.035	0.038
"2021-08"	0.041	0.034	0.037
"2021-09"	0.034	0.033	0.034
"2021-10"	0.033	0.032	0.033
"2021-11"	0.030	0.032	0.033
"2021-12"	0.030	0.033	0.034
"2022-01"	0.033	0.034	0.035
"2022-02"	0.033	0.033	0.034
"2022-03"	0.029	0.032	0.032
"2022-04"	0.028	0.032	0.032
"2022-05"	0.031	0.029	0.031
"2022-06"	0.034	0.029	0.030
"2022-07"	0.030	0.027	0.029
"2022-08"	0.032	0.027	0.029
"2022-09"	0.031	0.026	0.028
"2022-10"	0.029	0.026	0.028
"2022-11"	0.030	0.027	0.029
"2022-12"	0.027	0.027	0.029

