"Datum"	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"
"2008-01"	244	30	349
"2008-02"	237	34	330
"2008-03"	230	36	276
"2008-04"	232	35	247
"2008-05"	225	32	238
"2008-06"	222	35	242
"2008-07"	219	33	222
"2008-08"	219	31	213
"2008-09"	237	35	222
"2008-10"	243	35	266
"2008-11"	241	35	370
"2008-12"	279	43	474
"2009-01"	292	44	486
"2009-02"	301	41	479
"2009-03"	317	41	465
"2009-04"	338	39	396
"2009-05"	351	37	370
"2009-06"	353	49	332
"2009-07"	348	50	275
"2009-08"	308	59	265
"2009-09"	328	55	275
"2009-10"	341	51	287
"2009-11"	336	55	294
"2009-12"	337	71	314
"2010-01"	328	76	320
"2010-02"	317	77	331
"2010-03"	309	82	286
"2010-04"	289	82	259
"2010-05"	293	82	240
"2010-06"	277	84	220
"2010-07"	264	80	188
"2010-08"	238	81	180
"2010-09"	223	74	170
"2010-10"	215	67	160
"2010-11"	221	72	173
"2010-12"	215	77	209
"2011-01"	217	85	224
"2011-02"	213	88	235
"2011-03"	217	88	222
"2011-04"	189	75	188
"2011-05"	182	81	193
"2011-06"	177	88	193
"2011-07"	203	98	171
"2011-08"	195	96	177
"2011-09"	208	105	186
"2011-10"	215	102	215
"2011-11"	215	107	292
"2011-12"	234	116	419
"2012-01"	258	118	498
"2012-02"	278	119	521
"2012-03"	265	110	464
"2012-04"	248	113	397
"2012-05"	247	121	329
"2012-06"	233	114	272
"2012-07"	241	119	233
"2012-08"	240	118	199
"2012-09"	240	125	197
"2012-10"	248	135	238
"2012-11"	273	128	305
"2012-12"	287	128	473
"2013-01"	315	124	504
"2013-02"	309	119	478
"2013-03"	297	122	423
"2013-04"	289	116	355
"2013-05"	302	102	297
"2013-06"	290	97	260
"2013-07"	278	97	228
"2013-08"	277	97	213
"2013-09"	276	94	227
"2013-10"	261	107	261
"2013-11"	278	108	355
"2013-12"	289	120	485
"2014-01"	299	130	486
"2014-02"	299	126	448
"2014-03"	282	120	412
"2014-04"	276	129	346
"2014-05"	259	125	285
"2014-06"	236	119	238
"2014-07"	230	120	222
"2014-08"	242	114	214
"2014-09"	245	126	241
"2014-10"	249	129	301
"2014-11"	252	128	418
"2014-12"	255	122	595
"2015-01"	270	133	597
"2015-02"	268	143	565
"2015-03"	266	141	533
"2015-04"	263	144	458
"2015-05"	258	141	387
"2015-06"	259	144	327
"2015-07"	233	148	292
"2015-08"	238	144	284
"2015-09"	249	132	304
"2015-10"	246	134	355
"2015-11"	244	138	462
"2015-12"	240	143	563
"2016-01"	277	144	601
"2016-02"	290	136	581
"2016-03"	289	132	542
"2016-04"	302	142	512
"2016-05"	302	140	446
"2016-06"	294	137	407
"2016-07"	301	140	336
"2016-08"	319	137	311
"2016-09"	303	141	315
"2016-10"	311	147	327
"2016-11"	300	147	434
"2016-12"	326	150	580
"2017-01"	330	138	618
"2017-02"	313	133	544
"2017-03"	297	130	485
"2017-04"	287	131	414
"2017-05"	240	121	354
"2017-06"	236	113	311
"2017-07"	226	109	270
"2017-08"	229	111	281
"2017-09"	210	98	254
"2017-10"	217	107	286
"2017-11"	217	107	370
"2017-12"	232	105	504

