"Datum"	"BS"	"BL"	"AG"	"ZH"	"CH"
"2015-01"	0.039	0.028	0.031	0.035	0.034
"2015-02"	0.038	0.027	0.031	0.035	0.033
"2015-03"	0.038	0.027	0.030	0.034	0.032
"2015-04"	0.037	0.027	0.029	0.034	0.031
"2015-05"	0.035	0.027	0.029	0.033	0.030
"2015-06"	0.035	0.026	0.028	0.033	0.030
"2015-07"	0.034	0.027	0.029	0.033	0.030
"2015-08"	0.035	0.026	0.029	0.033	0.030
"2015-09"	0.036	0.027	0.029	0.033	0.031
"2015-10"	0.036	0.027	0.030	0.034	0.031
"2015-11"	0.037	0.029	0.031	0.036	0.033
"2015-12"	0.038	0.031	0.033	0.037	0.035
"2016-01"	0.040	0.031	0.034	0.038	0.036
"2016-02"	0.041	0.031	0.034	0.038	0.036
"2016-03"	0.040	0.031	0.033	0.038	0.035
"2016-04"	0.040	0.030	0.032	0.036	0.033
"2016-05"	0.039	0.029	0.031	0.036	0.032
"2016-06"	0.038	0.030	0.030	0.035	0.031
"2016-07"	0.036	0.029	0.030	0.035	0.031
"2016-08"	0.037	0.030	0.030	0.035	0.032
"2016-09"	0.037	0.030	0.030	0.036	0.032
"2016-10"	0.037	0.029	0.031	0.036	0.032
"2016-11"	0.039	0.030	0.032	0.037	0.033
"2016-12"	0.041	0.031	0.033	0.038	0.035
"2017-01"	0.040	0.031	0.033	0.038	0.035
"2017-02"	0.039	0.031	0.033	0.037	0.034
"2017-03"	0.039	0.030	0.032	0.036	0.033
"2017-04"	0.037	0.029	0.031	0.034	0.032
"2017-05"	0.035	0.028	0.030	0.033	0.030
"2017-06"	0.035	0.028	0.029	0.033	0.029
"2017-07"	0.034	0.028	0.028	0.033	0.029
"2017-08"	0.035	0.028	0.029	0.032	0.029
"2017-09"	0.033	0.027	0.028	0.032	0.029
"2017-10"	0.034	0.027	0.029	0.032	0.029
"2017-11"	0.034	0.028	0.030	0.033	0.030
"2017-12"	0.036	0.029	0.032	0.034	0.032
"2018-01"	0.037	0.030	0.032	0.034	0.032
"2018-02"	0.035	0.029	0.031	0.033	0.031
"2018-03"	0.035	0.026	0.028	0.029	0.028
"2018-04"	0.033	0.024	0.026	0.026	0.026
"2018-05"	0.032	0.021	0.024	0.024	0.024
"2018-06"	0.031	0.021	0.023	0.023	0.023
"2018-07"	0.031	0.020	0.023	0.023	0.023
"2018-08"	0.031	0.020	0.024	0.023	0.023
"2018-09"	0.030	0.020	0.024	0.022	0.023
"2018-10"	0.030	0.019	0.024	0.022	0.023
"2018-11"	0.031	0.019	0.024	0.023	0.024
"2018-12"	0.033	0.020	0.026	0.024	0.026
"2019-01"	0.034	0.021	0.027	0.024	0.027
"2019-02"	0.033	0.020	0.027	0.024	0.026
"2019-03"	0.032	0.020	0.025	0.022	0.024
"2019-04"	0.031	0.019	0.024	0.021	0.023
"2019-05"	0.029	0.018	0.024	0.020	0.022
"2019-06"	0.028	0.018	0.023	0.020	0.021
"2019-07"	0.028	0.017	0.023	0.020	0.021
"2019-08"	0.028	0.018	0.023	0.020	0.021
"2019-09"	0.027	0.017	0.024	0.020	0.021
"2019-10"	0.027	0.017	0.024	0.020	0.022
"2019-11"	0.029	0.018	0.024	0.021	0.023
"2019-12"	0.031	0.020	0.027	0.023	0.025
"2020-01"	0.033	0.021	0.028	0.024	0.026
"2020-02"	0.033	0.020	0.027	0.023	0.026
"2020-03"	0.036	0.023	0.030	0.028	0.030
"2020-04"	0.039	0.027	0.034	0.031	0.033
"2020-05"	0.041	0.028	0.035	0.032	0.034
"2020-06"	0.041	0.028	0.035	0.032	0.033
"2020-07"	0.042	0.027	0.035	0.032	0.032
"2020-08"	0.041	0.027	0.036	0.032	0.033
"2020-09"	0.040	0.026	0.036	0.032	0.032
"2020-10"	0.040	0.026	0.035	0.032	0.032
"2020-11"	0.041	0.027	0.036	0.033	0.033
"2020-12"	0.044	0.028	0.038	0.035	0.036
"2021-01"	0.045	0.029	0.040	0.036	0.037
"2021-02"	0.044	0.029	0.040	0.036	0.037
"2021-03"	0.044	0.028	0.039	0.034	0.034
"2021-04"	0.042	0.027	0.037	0.032	0.033
"2021-05"	0.040	0.026	0.036	0.031	0.031
"2021-06"	0.039	0.025	0.034	0.028	0.029
"2021-07"	0.038	0.024	0.033	0.027	0.028
"2021-08"	0.037	0.024	0.032	0.026	0.027
"2021-09"	0.034	0.023	0.031	0.025	0.026
"2021-10"	0.033	0.022	0.029	0.024	0.025
"2021-11"	0.033	0.021	0.029	0.023	0.025
"2021-12"	0.034	0.022	0.031	0.023	0.026
"2022-01"	0.035	0.022	0.031	0.023	0.027
"2022-02"	0.034	0.021	0.030	0.023	0.026
