"Datum"	"Frauen"	"Männer"
"2014-01"	718	1095
"2014-02"	548	1011
"2014-03"	715	1284
"2014-04"	663	1221
"2015-01"	745	1193
"2015-02"	611	1145
"2015-03"	810	1282
"2015-04"	605	1077
"2016-01"	690	1160
"2016-02"	604	1152
"2016-03"	792	1200
"2016-04"	580	908
"2017-01"	750	1353
"2017-02"	674	1093
"2017-03"	707	1107
"2017-04"	575	929
"2018-01"	784	1321
"2018-02"	648	1116
"2018-03"	728	1401
"2018-04"	614	1008
"2019-01"	809	1590
"2019-02"	626	993
"2019-03"	740	1163
"2019-04"	723	1073
"2020-01"	892	1528
"2020-02"	318	533
"2020-03"	519	938
"2020-04"	598	877
"2021-01"	455	814
"2021-02"	371	649
"2021-03"	524	1023
"2021-04"	652	965
"2022-01"	640	1198
"2022-02"	619	887
"2022-03"	642	1020
"2022-04"	625	1085
"2023-01"	996	1768
"2023-02"	726	1194
"2023-03"	761	1121
"2023-04"	674	1007

