""	"Industrie (inkl. Chemie, Pharma)"	"Baugewerbe"
"2009-1"	6604	22659
"2009-2"	8173	22924
"2009-3"	20064	25190
"2009-4"	5094	9364
"2010-1"	6950	23728
"2010-2"	7113	12553
"2010-3"	13355	13731
"2010-4"	11439	21166
"2011-1"	7502	18834
"2011-2"	5512	14221
"2011-3"	17350	18963
"2011-4"	6809	16091
"2012-1"	7715	27379
"2012-2"	7575	18311
"2012-3"	23440	24196
"2012-4"	5871	21795
"2013-1"	8893	17829
"2013-2"	18256	42022
"2013-3"	20154	18890
"2013-4"	9170	15322
"2014-1"	25357	70150
"2014-2"	15635	40158
"2014-3"	16524	20919
"2014-4"	8380	14541
"2015-1"	32319	68583
"2015-2"	15364	30170
"2015-3"	23543	20258
"2015-4"	7030	13360
"2016-1"	27723	71990
"2016-2"	11780	29138
"2016-3"	19134	19088
"2016-4"	5422	13100
"2017-1"	19796	54929
"2017-2"	11430	31678
"2017-3"	21255	23283
"2017-4"	7916	14618

