"Jahr"	"1 Zimmer"	"2 Zimmer"	"3 Zimmer"	"4 Zimmer"	"5 Zimmer"
"2006"	568	853	1056	1431	2017
"2007"	575	864	1066	1455	2027
"2008"	584	883	1088	1498	2102
"2009"	597	907	1117	1531	2136
"2010"	602	912	1128	1538	2143
"2011"	611	894	1125	1539	2125
"2012"	613	900	1136	1549	2139
"2013"	615	908	1140	1572	2172
"2014"	622	913	1148	1572	2190
"2015"	630	926	1165	1585	2226
"2016"	647	941	1171	1572	2154
"2017"	659	957	1185	1593	2193
"2018"	666	970	1198	1607	2202
"2019"	675	986	1210	1628	2224
"2020"	688	1003	1223	1646	2243
"2021"	717	1036	1244	1687	2277
"2022"	721	1047	1255	1699	2295
"2023"	721	1061	1270	1715	2291

