Jahr	Eigentümerwohnungen	Genossenschaftswohnungen	Mietwohnungen	sonstige Wohnungen	gesamter Wohnungsbestand
2013	15954	10756	78805	692	106207
2013	200	0	1127	16	1343
2013	1035	42	4958	41	6076
2013	815	1464	7047	129	9455
2013	129	8	1307	5	1449
2013	44	312	980	9	1345
2013	945	511	4642	51	6149
2013	754	526	9727	53	11060
2013	1813	619	1895	17	4344
2013	2082	1090	3935	33	7140
2013	104	12	2130	3	2249
2013	550	483	2092	12	3137
2013	706	1366	2369	12	4453
2013	146	66	2562	18	2792
2013	605	115	7920	20	8660
2013	293	9	168	9	479
2013	213	0	2906	54	3173
2013	419	953	3769	10	5151
2013	588	647	2814	15	4064
2013	903	618	8372	63	9956
2013	87	528	3093	21	3729
2013	3523	1387	4992	101	10003
2014	303	9	171	9	492
2014	571	484	2182	12	3249
2014	144	66	2643	18	2871
2014	130	8	1364	7	1509
2014	967	511	4659	46	6183
2014	1819	622	1892	17	4350
2014	2079	1090	3949	32	7150
2014	594	650	2817	15	4076
2014	837	1464	7060	161	9522
2014	905	617	8413	67	10002
2014	612	115	7976	18	8721
2014	88	528	3089	12	3717
2014	43	312	987	10	1352
2014	3535	1387	5010	102	10034
2014	201	0	1152	12	1365
2014	286	0	2991	55	3332
2014	1053	42	4948	39	6082
2014	103	12	2186	3	2304
2014	735	1366	2360	30	4491
2014	421	955	3777	10	5163
2014	763	526	9649	52	10990
2014	16189	10764	79275	727	106955
2015	16304	10814	80116	745	107979
2015	286	0	3017	55	3358
2015	1816	621	1906	17	4360
2015	603	651	2829	14	4097
2015	193	66	3138	18	3415
2015	89	531	3093	12	3725
2015	908	664	8404	64	10040
2015	130	8	1376	7	1521
2015	103	12	2194	3	2312
2015	574	484	2185	11	3254
2015	773	1366	2365	28	4532
2015	304	9	175	10	498
2015	1063	42	4999	39	6143
2015	432	955	3783	9	5179
2015	965	511	4601	46	6123
2015	765	525	9728	52	11070
2015	2080	1090	3989	33	7192
2015	837	1464	7089	186	9576
2015	202	0	1167	12	1381
2015	609	116	8035	17	8777
2015	43	312	990	10	1355
2015	3529	1387	5053	102	10071
2016	3559	1399	5081	101	10140
2016	103	20	2198	3	2324
2016	917	721	8359	63	10060
2016	625	173	8010	17	8825
2016	89	531	3112	9	3741
2016	196	66	3155	18	3435
2016	773	1367	2519	28	4687
2016	431	993	3867	6	5297
2016	287	0	3045	56	3388
2016	203	0	1196	12	1411
2016	582	484	2181	10	3257
2016	2080	1098	4008	36	7222
2016	607	653	2840	15	4115
2016	1826	621	1915	15	4377
2016	775	588	9718	51	11132
2016	43	312	995	10	1360
2016	304	9	174	10	497
2016	964	511	4631	41	6147
2016	131	8	1388	7	1534
2016	867	1477	7113	184	9641
2016	1063	42	5054	41	6200
2016	16425	11073	80559	733	108790
