jahr	1 Zimmer	2 Zimmer	3 Zimmer	4 Zimmer	5 Zimmer	6 Zimmer u.m.
2005	11675	24977	38950	17426	6174	5412
2006	11637	24916	38984	17540	6245	5455
2007	11568	24821	39002	17584	6278	5463
2008	11498	24738	39094	17673	6297	5464
2009	11491	24768	39202	17818	6320	5465
2010	11453	24730	39307	17946	6352	5484
2011	11359	24631	39397	18140	6572	5484
2012	11365	24733	39481	18188	6594	5492
2013	10600	24426	39839	18613	6898	5831
2014	10623	24695	40027	18792	6934	5884
2015	10799	25063	40339	18938	6966	5874
2016	10962	25343	40571	19057	6959	5898
2017	11135	25557	40753	19182	6981	5882
2018	11245	25833	41077	19357	7026	5902
2019	11419	26300	41336	19437	7083	5913
2020	11712	26636	41558	19493	7066	5924
2021	11986	27061	41904	19664	7081	5923
2022	12267	27557	42249	19861	7136	5934
2023	12449	27820	42584	20026	7187	5941
2024	12794	27965	42662	20080	7198	5952
