"Jahr"	"Verheiratete/registrierte Paare ohne Kinder"	"Paare mit minderjährigen Kindern"	"Einelternhaushalte mit minderjährigen Kindern"	"Eltern(-teil) mit nur volljährigen Kindern"
"2011"	16621	12696	3959	6720
"2012"	16527	12857	3946	6863
"2013"	16311	13160	3931	6883
"2014"	16088	13273	3965	6908
"2015"	15896	13394	3986	6844
"2016"	15689	13558	4048	6901
"2017"	15528	13745	3993	6963
"2018"	15291	14018	4095	6839
"2019"	15162	14312	4077	6848
"2020"	14935	14365	4061	6795
"2021"	14749	14361	4145	6754
"2022"	14596	14466	4356	6828
"2023"	14478	14657	4433	6968

