Jahr	Anzahl Genossenschaftswohnungen	Anteil am Bestand (rechte Skala)	Gesamter Wohnungsbestand
1990	9588	9.714088873579	98702
2000	9677	10.277733524507	94155
2012	10392	10.583131352221	98194
2013	10383	10.518371440438	98713
2014	10393	10.551269035532	98500
2015	10359	10.549094686246	98198
2016	10566	10.730607519346	98466
2017	10588	10.762787671789	98376
2018	10662	10.800046192183	98718
2019	10776	10.818516770910	99607
2020	10847	10.857314448726	99905
2021	10997	10.959081577741	100346	
2022	11104	10.974283963550	101182
2023	11461	11.213846816272	102204
