"Jahr"	"Trinkwasserbezug öffentliches Netz"	"Private Grundwasserförderungen"	"Category"
1989	8.43	13.55	0
1990	8.01	13.88	1
1991	7.28	12.54	2
1992	7.46	12.87	3
1993	7.25	12.7	4
1994	6.62	13.04	5
1995	6.42	13.33	6
1996	6	11.99	7
1997	6.24	10.76	8
1998	6.22	8.7	9
1999	5.94	10.78	10
2000	5.52	10.45	11
2001	5.45	9.28	12
2002	5.72	9.72	13
2003	5.34	9.43	14
2004	5.21	8.74	15
2005	4.21	8.72	16
2006	4.38	10.82	17
2007	4.29	10.31	18
2008	4.79	9.08	19
2009	5.26	10.55	20
2010	5.81	8.93	21
2011	5.47	9.64	22
2012	5.45	8.81	23
2013	5.2	9.81	24
2014	4.89	9.41	25
2015	8.34	9.86	26
2016	7.76	10.91	27
2017	7.87	11.06	28
2018	8.38	11.19	29
2019	8.4	10.52	30
2020	8.37	11.93	31
2021	7.56	11.36	32
2022	8.45	12.42	33
