"Jahr"	"Bis 1	5 Tonnen"	"1	5 bis 2	5 Tonnen"	"2	5 bis 5 Tonnen"	"5 bis 10 Tonnen"	"Mehr als 10 Tonnen"	"DateTime"
1990	69	62	61	4	1	" "
1991	74	60	59	5	1	" "
1992	78	59	57	4	1	" "
1993	79	59	53	4	1	" "
1994	79	57	53	4	1	" "
1995	76	54	50	4	1	" "
1996	73	52	50	8	2	" "
1997	74	52	49	10	1	" "
1998	75	48	47	11	1	" "
1999	74	46	51	15	2	" "
2000	76	47	54	16	2	" "
2001	75	48	54	19	2	" "
2002	76	42	53	19	2	" "
2003	75	41	55	22	2	" "
2004	68	40	56	23	2	" "
2005	63	38	61	24	3	" "
2006	53	33	58	25	3	" "
2007	54	36	57	26	3	" "
2008	52	38	55	25	3	" "
2009	51	35	57	25	3	" "
2010	50	35	57	26	4	" "
2011	50	36	54	29	4	" "
2012	43	35	53	28	4	" "
2013	40	35	53	35	4	" "
2014	40	35	54	35	6	" "
2015	38	40	52	36	6	" "
2016	34	40	50	37	6	" "
