"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"	"Category"
1961	18	0
1962	20	1
1963	9	2
1964	24	3
1965	6	4
1966	7	5
1967	12	6
1968	6	7
1969	7	8
1970	4	9
1971	14	10
1972	4	11
1973	10	12
1974	7	13
1975	11	14
1976	23	15
1977	1	16
1978	2	17
1979	7	18
1980	5	19
1981	8	20
1982	10	21
1983	23	22
1984	9	23
1985	10	24
1986	16	25
1987	12	26
1988	8	27
1989	10	28
1990	16	29
1991	16	30
1992	22	31
1993	11	32
1994	28	33
1995	20	34
1996	6	35
1997	13	36
1998	18	37
1999	7	38
2000	15	39
2001	14	40
2002	12	41
2003	43	42
2004	14	43
2005	19	44
2006	25	45
2007	8	46
2008	9	47
2009	17	48
2010	19	49
2011	15	50
2012	13	51
2013	15	52
2014	9	53
2015	32	54
2016	13	55
2017	28	56
2018	31	57
2019	25	58
2020	22	59
2021	6	60
2022	37	61
