"Jahr"	"Schadenfälle"	"Schadensumme (rechte Skala)"	"Category"
1984	998	1079.1	0
1985	184	156.9	1
1986	2158	2477.8	2
1987	193	331.5	3
1988	516	446.7	4
1989	773	934.2	5
1990	3660	5617.3	6
1991	307	763.4	7
1992	3360	8955.5	8
1993	282	351.9	9
1994	437	799.4	10
1995	3181	8065.4	11
1996	133	222.7	12
1997	487	760.1	13
1998	1318	2135	14
1999	4491	11319.3	15
2000	195	371.2	16
2001	313	497.3	17
2002	299	1208.5	18
2003	1006	1762.6	19
2004	602	1163	20
2005	1126	5463.2	21
2006	322	897	22
2007	468	996.4	23
2008	222	422.3	24
2009	439	1308.1	25
2010	152	369.2	26
2011	382	997.4	27
2012	752	4816	28
2013	48	68.7	29
2014	461	1839.8	30
2015	152	318.4	31
2016	530	2328.7	32
2017	251	564.2	33
2018	940	2360	34
2019	563	848.4	35
2020	951	2272.7	36
2021	155	714.3	37
2022	1839	10292.7	38
2023	1208	5119.9	39
2024	125	367.6	40
