"Jahr"	"Bevölkerung"	"Category"
1971	238292	0
1972	235606	1
1973	232639	2
1974	228930	3
1975	223781	4
1976	218822	5
1977	214964	6
1978	212261	7
1979	210264	8
1980	209044	9
1981	207538	10
1982	206300	11
1983	204565	12
1984	203686	13
1985	203073	14
1986	201824	15
1987	199926	16
1988	198739	17
1989	197874	18
1990	197622	19
1991	199092	20
1992	199781	21
1993	200153	22
1994	200068	23
1995	199173	24
1996	198021	25
1997	195972	26
1998	193700	27
1999	191843	28
2000	189507	29
2001	188215	30
2002	188196	31
2003	188552	32
2004	188796	33
2005	188705	34
2006	188441	35
2007	188332	36
2008	189080	37
2009	190682	38
2010	191946	39
2011	192174	40
2012	192900	41
2013	194655	42
2014	196086	43
2015	197005	44
2016	197926	45
2017	198563	46
2018	199870	47
2019	200321	48
2020	201527	49
2021	201569	50
2022	203628	51
2023	205582	52
2024	206999.3	53
