"Jahr"	"Schweiz"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Österreich, Deutschland, Liechtenstein"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Übriges Ausland"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
2010	0.9344	0.9265	0.9424	0.9800	0.9664	0.9936	0.4437	0.4145	0.4729
2011	0.9368	0.9284	0.9452	0.9896	0.9795	0.9997	0.4385	0.4078	0.4693
2012	0.9446	0.9368	0.9524	0.9640	0.9455	0.9825	0.4287	0.3977	0.4597
2013	0.9386	0.9303	0.9468	0.9745	0.9597	0.9893	0.4365	0.4063	0.4668
2014	0.9346	0.9261	0.9431	0.9743	0.9593	0.9892	0.4155	0.3861	0.4448
2015	0.9438	0.9358	0.9518	0.9719	0.9556	0.9881	0.4049	0.3754	0.4344
2016	0.9433	0.9352	0.9514	0.9700	0.9534	0.9866	0.3947	0.3649	0.4246
2017	0.9474	0.9396	0.9552	0.9595	0.9407	0.9783	0.4222	0.3929	0.4514
2018	0.9203	0.9105	0.9301	0.9793	0.9653	0.9934	0.3778	0.3483	0.4074
2019	0.9331	0.9241	0.9421	0.9575	0.9371	0.9779	0.3996	0.3700	0.4291
2020	0.9225	0.9131	0.9319	0.9653	0.9485	0.9822	0.3808	0.3529	0.4087
2021	0.9107	0.9002	0.9212	0.9592	0.9402	0.9781	0.3420	0.3146	0.3695
2022	0.9148	0.9046	0.9250	0.9649	0.9467	0.9831	0.3315	0.3037	0.3592

