Antwort	Ja, regelmässig	Ja, hin und wieder	Ja, selten	Nein, nie	Nein, nicht möglich	Keine Angabe
2017: Arbeitskollegen	0.5	2.5	8.6	73.2	2.8	12.4
2013: Arbeitskollegen	0.4	2.9	8.8	70.3	2.8	14.8
2009: Arbeitskollegen	0.4	3.2	9.7	71.9	2.6	12.2
.
2017: Nachbarn	1.5	11.7	17.3	57.9	1.2	10.4
2013: Nachbarn	1.2	10.9	16.4	57.2	1.5	12.8
2009: Nachbarn	2.7	12	19.4	54.2	1.3	10.5
..
2017: Freunde und Bekannte	2.6	18.4	21.4	46.5	1.1	10.0
2013: Freunde und Bekannte	3	16.8	19.9	46.6	1.9	11.8
2009: Freunde und Bekannte	3.8	18.9	23.5	43.3	1.3	9.3
