wohnviertel_id	Sozialhilfequote	Rang	wohnviertel	jahr_num	Bezueger
30	0.0112540193	1	Bettingen	2021	14
7	0.0164212311	2	Bruderholz	2021	155
8	0.0197925796	3	Bachletten	2021	271
1	0.0206146927	4	Altstadt Grossbasel	2021	55
3	0.0290253861	5	Am Ring	2021	327
14	0.0295292687	6	Wettstein	2021	170
20	0.0311356986	7	Riehen	2021	681
2	0.0331435543	8	Vorstädte	2021	163
5	0.0335312317	9	St. Alban	2021	401
9	0.0410716914	10	Gotthelf	2021	279
4	0.0461364918	11	Breite	2021	409
15	0.0476088585	12	Hirzbrunnen	2021	445
6	0.0578019426	13	Gundeldingen	2021	1095
12	0.0635324015	14	Altstadt Kleinbasel	2021	150
16	0.0709023941	15	Rosental	2021	539
11	0.0714626518	16	St. Johann	2021	1348
13	0.0736817868	17	Clara	2021	320
10	0.0916434044	18	Iselin	2021	1543
17	0.0969088301	19	Matthäus	2021	1486
19	0.1171335031	20	Kleinhüningen	2021	322
18	0.1280207135	21	Klybeck	2021	890
