wohnviertel_id	Anteil Ausländer	Rang	Wohnviertel	jahr_num
8	0.2174234035	1	Bachletten	2018
30	0.2464962902	2	Bettingen	2018
7	0.2469808699	3	Bruderholz	2018
15	0.2492268316	4	Hirzbrunnen	2018
20	0.2661786647	5	Riehen	2018
1	0.2808772605	6	Altstadt Grossbasel	2018
9	0.283160323	7	Gotthelf	2018
14	0.3188848921	8	Wettstein	2018
4	0.3380422692	9	Breite	2018
5	0.344980059	10	St. Alban	2018
3	0.3687414811	11	Am Ring	2018
12	0.3762781186	12	Altstadt Kleinbasel	2018
2	0.3810093756	13	Vorstädte	2018
10	0.3839995291	14	Iselin	2018
6	0.3955482188	15	Gundeldingen	2018
11	0.434435881	16	St. Johann	2018
13	0.4706026458	17	Clara	2018
19	0.4797060882	18	Kleinhüningen	2018
17	0.5079880339	19	Matthäus	2018
18	0.5220074044	20	Klybeck	2018
16	0.556871345	21	Rosental	2018
