Wohnviertel_id	Anteil Personen in Einpersonenhh	Rang	Wohnviertel	Jahr
30	0.117545376	1	Bettingen	2021
7	0.1458693772	2	Bruderholz	2021
20	0.1657440573	3	Riehen	2021
15	0.1848263851	4	Hirzbrunnen	2021
19	0.2008242788	5	Kleinhüningen	2021
8	0.2148515585	6	Bachletten	2021
16	0.2210640314	7	Rosental	2021
11	0.2364071456	8	St. Johann	2021
5	0.2387309293	9	St. Alban	2021
18	0.2388235294	10	Klybeck	2021
17	0.2714449619	11	Matthäus	2021
3	0.2725616189	12	Am Ring	2021
14	0.2731046931	13	Wettstein	2021
10	0.2840915957	14	Iselin	2021
4	0.2863914903	15	Breite	2021
6	0.2916576264	16	Gundeldingen	2021
9	0.2981115108	17	Gotthelf	2021
13	0.300024432	18	Clara	2021
2	0.3197761997	19	Vorstädte	2021
1	0.3275212064	20	Altstadt Grossbasel	2021
12	0.3753943218	21	Altstadt Kleinbasel	2021
