wohnviertel_id	Sek P-Quote	Rang	Wohnviertel	jahr
12	0.1111	1	Altstadt Kleinbasel	2025
19	0.1591	2	Kleinhüningen	2025
18	0.169	3	Klybeck	2025
13	0.2	4	Clara	2025
04	0.2523	5	Breite	2025
17	0.2634	6	Matthäus	2025
10	0.2646	7	Iselin	2025
06	0.269	8	Gundeldingen	2025
16	0.28	9	Rosental	2025
11	0.3475	10	St. Johann	2025
30	0.36	11	Bettingen	2025
15	0.4087	12	Hirzbrunnen	2025
05	0.4219	13	St. Alban	2025
09	0.4787	14	Gotthelf	2025
03	0.5132	15	Am Ring	2025
20	0.5165	16	Riehen	2025
02	0.5238	17	Vorstädte	2025
14	0.549	18	Wettstein	2025
07	0.5522	19	Bruderholz	2025
08	0.5789	20	Bachletten	2025
01	0.7143	21	Altstadt Grossbasel	2025
