wohnviertel_id	Altersquotient	Rang	Wohnviertel	jahr_num
16	0.1188209447	1	Rosental	2019
17	0.1888482633	2	Matthäus	2019
18	0.2135040264	3	Klybeck	2019
6	0.2246420956	4	Gundeldingen	2019
11	0.2315104794	5	St. Johann	2019
10	0.2480121505	6	Iselin	2019
12	0.2820512821	7	Altstadt Kleinbasel	2019
1	0.2968838527	8	Altstadt Grossbasel	2019
19	0.299248989	9	Kleinhüningen	2019
14	0.2992620935	10	Wettstein	2019
3	0.3281751011	11	Am Ring	2019
4	0.3313284069	12	Breite	2019
13	0.3398717465	13	Clara	2019
9	0.3421354765	14	Gotthelf	2019
8	0.359462079	15	Bachletten	2019
2	0.3668295663	16	Vorstädte	2019
7	0.4165056049	17	Bruderholz	2019
15	0.4170001906	18	Hirzbrunnen	2019
30	0.4292168675	19	Bettingen	2019
5	0.437537358	20	St. Alban	2019
20	0.4781593288	21	Riehen	2019
