Wohnviertel_id	Sesshaftigkeit	Rang	Wohnviertel	Jahr_num
16	0.1913532873	1	Rosental	2023
12	0.2748371336	2	Altstadt Kleinbasel	2023
2	0.2818642351	3	Vorstädte	2023
13	0.2874060578	4	Clara	2023
3	0.2899709941	5	Am Ring	2023
5	0.2967824556	6	St. Alban	2023
11	0.301350172	7	St. Johann	2023
1	0.305740988	8	Altstadt Grossbasel	2023
6	0.3084803042	9	Gundeldingen	2023
17	0.3090106124	10	Matthäus	2023
18	0.3144123534	11	Klybeck	2023
10	0.3149606299	12	Iselin	2023
4	0.3255813953	13	Breite	2023
14	0.3447441217	14	Wettstein	2023
9	0.3511828871	15	Gotthelf	2023
19	0.3536067893	16	Kleinhüningen	2023
15	0.3847037927	17	Hirzbrunnen	2023
8	0.404491932	18	Bachletten	2023
20	0.4060337178	19	Riehen	2023
30	0.4171732523	20	Bettingen	2023
7	0.4270865814	21	Bruderholz	2023
