Wohnviertel,Jugendquotient 2015,Rang
Altstadt Grossbasel,0.1204819277,1
Altstadt Kleinbasel,0.1413612565,2
Vorstädte,0.1598002497,3
Clara,0.1815799326,4
Gundeldingen,0.2039478641,5
Am Ring,0.208682855,6
Wettstein,0.2200761697,7
Matthäus,0.2246445498,8
Breite,0.226584507,9
St. Johann,0.252143138,10
Rosental,0.2522341376,11
Gotthelf,0.2540464462,12
Iselin,0.2606669712,13
Klybeck,0.2784552846,14
St. Alban,0.2791754585,15
Bachletten,0.2951947892,16
Kleinhüningen,0.3129812981,17
Bettingen,0.3141210375,18
Hirzbrunnen,0.3406156902,19
Riehen,0.3593376428,20
Bruderholz,0.3820925553,21
