wohnviertel_id	Baujahr Wohngebäude	Rang	Wohnviertel	jahr_num
1	1822.1476377952750	1	Altstadt Grossbasel	2022
12	1881.5699300699300	2	Altstadt Kleinbasel	2022
2	1899.4000000000000	3	Vorstädte	2022
3	1921.0797649034420	4	Am Ring	2022
17	1925.5660869565210	5	Matthäus	2022
9	1925.9397959183670	6	Gotthelf	2022
13	1929.5418326693220	7	Clara	2022
6	1933.0076548364640	8	Gundeldingen	2022
14	1933.5232722143860	9	Wettstein	2022
11	1934.4370515329410	10	St. Johann	2022
8	1934.6370517928280	11	Bachletten	2022
18	1938.1238532110090	12	Klybeck	2022
10	1938.2403581267210	13	Iselin	2022
5	1940.5736885928390	14	St. Alban	2022
4	1942.2080838323350	15	Breite	2022
15	1942.7278996865200	16	Hirzbrunnen	2022
19	1948.0823529411760	17	Kleinhüningen	2022
7	1949.6426526717550	18	Bruderholz	2022
16	1952.4840764331210	19	Rosental	2022
20	1959.7900448218910	20	Riehen	2022
30	1965.6677018633540	21	Bettingen	2022


