wohnviertel_id	Anteil Grünflächen	Rang	wohnviertel	jahr_num
1	0.067261875	1	Altstadt Grossbasel	2016
12	0.0809476205	2	Altstadt Kleinbasel	2016
18	0.1181823341	3	Klybeck	2016
16	0.137886656	4	Rosental	2016
19	0.155087399	5	Kleinhüningen	2016
13	0.1596210662	6	Clara	2016
17	0.1657748081	7	Matthäus	2016
6	0.1748682856	8	Gundeldingen	2016
2	0.197906736	9	Vorstädte	2016
3	0.2387369156	10	Am Ring	2016
11	0.2711032949	11	St. Johann	2016
14	0.2812191425	12	Wettstein	2016
5	0.3217030196	13	St. Alban	2016
9	0.3236973591	14	Gotthelf	2016
4	0.3609948671	15	Breite	2016
10	0.3644713433	16	Iselin	2016
8	0.4165584987	17	Bachletten	2016
15	0.5900990651	18	Hirzbrunnen	2016
7	0.7146256637	19	Bruderholz	2016
20	0.7949819766	20	Riehen	2016
30	0.902449315	21	Bettingen	2016
