wohnviertel_id	Fläche pro Wohnung	Rang	Wohnviertel	jahr_num
18	64.802795	1	Klybeck	2024
19	66.353320	2	Kleinhüningen	2024
13	66.778986	3	Clara	2024
17	67.028175	4	Matthäus	2024
12	68.982485	5	Altstadt Kleinbasel	2024
10	68.989169	6	Iselin	2024
6	69.595726	7	Gundeldingen	2024
16	70.284799	8	Rosental	2024
4	70.853465	9	Breite	2024
11	72.172629	10	St. Johann	2024
9	74.520576	11	Gotthelf	2024
15	80.822142	12	Hirzbrunnen	2024
3	81.630359	13	Am Ring	2024
2	82.156142	14	Vorstädte	2024
14	82.784261	15	Wettstein	2024
1	88.126472	16	Altstadt Grossbasel	2024
5	90.759051	17	St. Alban	2024
8	92.352410	18	Bachletten	2024
20	102.545562	19	Riehen	2024
7	109.906304	20	Bruderholz	2024
30	120.159574	21	Bettingen	2024
