wohnviertel_id	Vermögenssteuer pro Veranlagung	Rang	Wohnviertel	jahr_num
19	199.4	1	Kleinhüningen	2018
18	205.9	2	Klybeck	2018
16	266.6	3	Rosental	2018
10	484.8	4	Iselin	2018
13	523.1	5	Clara	2018
6	554.9	6	Gundeldingen	2018
17	574.4	7	Matthäus	2018
4	581.3	8	Breite	2018
11	640.6	9	St. Johann	2018
15	690.6	10	Hirzbrunnen	2018
14	1453.9	11	Wettstein	2018
12	1898.4	12	Altstadt Kleinbasel	2018
3	2094.5	13	Am Ring	2018
8	2334.9	14	Bachletten	2018
20	3325.3	15	Riehen	2018
9	3335.3	16	Gotthelf	2018
5	5684.9	17	St. Alban	2018
1	5871.5	18	Altstadt Grossbasel	2018
2	7391.6	19	Vorstädte	2018
7	9469.7	20	Bruderholz	2018
30	14573.8	21	Bettingen	2018

