Jahr,Seit mind. 12 Jahren im gleichen Wohnviertel - geboren in der Schweiz,Seit mind. 12 Jahren im gleichen Wohnviertel - geboren im Ausland,Weniger als 12 Jahre im gleichen Wohnviertel - geboren in der Schweiz,Weniger als 12 Jahre im gleichen Wohnviertel - geboren im Ausland,Anzahl Ausländer (rechte Skala)
2006,2195,10069,9415,36663,58342
2007,2189,10050,8892,37542,58673
2008,2146,10109,8682,39109,60046
2009,2214,10264,8638,40561,61677
2010,2326,10452,8690,40664,62132
2011,2406,10771,8858,42060,64095
2012,2527,11064,8892,43044,65527
2013,2598,11309,8982,44663,67552
2014,2667,11659,9111,45342,68779
2015,2705,11813,9053,46016,69587
