Jahr,Logiernächte (linke Achse),Bettenzahl (rechte Achse)
1990,692328,3836
1991,651853,3824
1992,634596,3826
1993,597832,3793
1994,589077,3664
1995,616791,3697
1996,608035,3769
1997,624269,3798
1998,614055,3847
1999,642373,3858
2000,658746,3946
2001,647390,3778
2002,626278,4063
2003,661036,4420
2004,803149,4638
2005,785388,4479
2006,886777,4699
2007,944192,5012
2008,1008913,5341
2009,1030342,5731
2010,1071081,6227
2011,1079303,6414
2012,1081907,6478
2013,1105862,6411
2014,1162938,6766
2015,1201796,7288
