Kanton	Chemische Industrie	Pharmazeutische Industrie	Elektronik, Optik, Maschinenbau	Medizinaltechnik, Sonstiges	Übrige Branchen
Basel-Stadt					
Basel-Stadt: 2010-2014	0.176	0.494	0.171	0.087	0.074
Basel-Stadt: 2015-2018	0.075	0.524	0.170	0.112	0.044
Basel-Landschaft					
Basel-Landschaft: 2010-2014	0.067	0.329	0.311	0.225	0.063
Basel-Landschaft: 2015-2018	0.048	0.204	0.301	0.150	0.075
Zürich					
Zürich: 2010-2014	0.082	0.050	0.472	0.100	0.145
Zürich: 2015-2018	0.093	0.063	0.494	0.107	0.155
Schweiz					
Schweiz: 2010-2014	0.067	0.079	0.429	0.109	0.132
Schweiz: 2015-2018	0.062	0.083	0.417	0.112	0.150

