wohnviertel_id	Anteil Konfessionslose	Rang	Wohnviertel	jahr_num
16	0.3743038982	1	Rosental	2019
19	0.37884203	2	Kleinhüningen	2019
18	0.3932568744	3	Klybeck	2019
30	0.4305084746	4	Bettingen	2019
6	0.4360409338	5	Gundeldingen	2019
10	0.4371817644	6	Iselin	2019
17	0.4464099217	7	Matthäus	2019
13	0.447001224	8	Clara	2019
11	0.4484920549	9	St. Johann	2019
20	0.4648136921	10	Riehen	2019
4	0.470823164	11	Breite	2019
8	0.4766054038	12	Bachletten	2019
7	0.4770769067	13	Bruderholz	2019
5	0.478227261	14	St. Alban	2019
3	0.4838593974	15	Am Ring	2019
15	0.4868082368	16	Hirzbrunnen	2019
9	0.4900747986	17	Gotthelf	2019
1	0.4996081505	18	Altstadt Grossbasel	2019
2	0.5016935645	19	Vorstädte	2019
14	0.5187330317	20	Wettstein	2019
12	0.5300954753	21	Altstadt Kleinbasel	2019
