"wohnviertel_id"	"Anteil Personen in Einpersonenhaushalten"	"Rang"	"Wohnviertel"	"jahr_num"
30	0.1357798165	1	Bettingen	2018
7	0.1524556245	2	Bruderholz	2018
20	0.1649818806	3	Riehen	2018
15	0.1870076616	4	Hirzbrunnen	2018
19	0.1893939394	5	Kleinhüningen	2018
8	0.2106009705	6	Bachletten	2018
16	0.2162282657	7	Rosental	2018
18	0.2196580008	8	Klybeck	2018
11	0.2306659205	9	St. Johann	2018
5	0.2372775244	10	St. Alban	2018
17	0.2474408294	11	Matthäus	2018
14	0.2585888437	12	Wettstein	2018
13	0.2634854772	13	Clara	2018
10	0.2655370579	14	Iselin	2018
6	0.2723180388	15	Gundeldingen	2018
3	0.2763740045	16	Am Ring	2018
4	0.2770660923	17	Breite	2018
9	0.2808791209	18	Gotthelf	2018
1	0.2977608385	19	Altstadt Grossbasel	2018
2	0.3196893367	20	Vorstädte	2018
12	0.3347845015	21	Altstadt Kleinbasel	2018
