Wohnviertel_Id	Gymnasialquote	Rang	Wohnviertel	jahr_num
19	0.125	1	Kleinhüningen	2015
18	0.1652173913	2	Klybeck	2015
16	0.1728395062	3	Rosental	2015
17	0.2081218274	4	Matthäus	2015
13	0.2285714286	5	Clara	2015
6	0.2478632479	6	Gundeldingen	2015
10	0.2824427481	7	Iselin	2015
15	0.2848101266	8	Hirzbrunnen	2015
4	0.311827957	9	Breite	2015
11	0.3169014085	10	St. Johann	2015
12	0.3333333333	11	Altstadt Kleinbasel	2015
9	0.4512195122	12	Gotthelf	2015
5	0.4727272727	13	St. Alban	2015
20	0.5130890052	14	Riehen	2015
14	0.5846153846	15	Wettstein	2015
3	0.595959596	16	Am Ring	2015
7	0.6241610738	17	Bruderholz	2015
8	0.6507936508	18	Bachletten	2015
2	0.6666666667	19	Vorstädte	2015
1	0.6875	20	Altstadt Grossbasel	2015
30	0.7647058824	21	Bettingen	2015
