wohnviertel_id	Jugendquotient	Rang	Wohnviertel	jahr_num
1	0.1472658365	1	Altstadt Grossbasel	2020
12	0.1495877503	2	Altstadt Kleinbasel	2020
2	0.1694352159	3	Vorstädte	2020
13	0.1976700489	4	Clara	2020
6	0.2005129753	5	Gundeldingen	2020
17	0.2080633549	6	Matthäus	2020
14	0.2100362131	7	Wettstein	2020
3	0.222237325	8	Am Ring	2020
4	0.2234407128	9	Breite	2020
9	0.2512832478	10	Gotthelf	2020
11	0.2538187574	11	St. Johann	2020
10	0.2573691157	12	Iselin	2020
18	0.2662066081	13	Klybeck	2020
16	0.2706246585	14	Rosental	2020
8	0.2998300558	15	Bachletten	2020
5	0.3025036819	16	St. Alban	2020
19	0.328115942	17	Kleinhüningen	2020
30	0.3545454545	18	Bettingen	2020
15	0.3680461983	19	Hirzbrunnen	2020
20	0.384569429	20	Riehen	2020
7	0.4012286427	21	Bruderholz	2020
