wohnviertel_id	Baujahr Wohngebäude	Rang	wohnviertel	jahr_num
1	1822.5777778	1	Altstadt Grossbasel	2016
12	1880.4929078	2	Altstadt Kleinbasel	2016
2	1898.8284133	3	Vorstädte	2016
3	1918.6879795	4	Am Ring	2016
9	1924.6744659	5	Gotthelf	2016
17	1925.1622807	6	Matthäus	2016
13	1928.3461538	7	Clara	2016
6	1932.2265077	8	Gundeldingen	2016
11	1932.93083	9	St. Johann	2016
14	1933.15625	10	Wettstein	2016
8	1934.1489617	11	Bachletten	2016
18	1937.0229358	12	Klybeck	2016
10	1937.1906401	13	Iselin	2016
5	1938.5498311	14	St. Alban	2016
4	1940.9206587	15	Breite	2016
15	1941.7718078	16	Hirzbrunnen	2016
19	1946.4011976	17	Kleinhüningen	2016
7	1948.5173244	18	Bruderholz	2016
16	1948.6174497	19	Rosental	2016
20	1957.2413207	20	Riehen	2016
30	1961.9710611	21	Bettingen	2016
