wohnviertel_id	Anteil Einfamilienhäuser	Rang	Wohnviertel	jahr_num
13	0.0198412698410	1	Clara	2025
6	0.0284722222220	2	Gundeldingen	2025
16	0.0626959247640	3	Rosental	2025
18	0.0683371298400	4	Klybeck	2025
17	0.0705679862300	5	Matthäus	2025
2	0.0733944954120	6	Vorstädte	2025
12	0.0962199312710	7	Altstadt Kleinbasel	2025
1	0.0990291262130	8	Altstadt Grossbasel	2025
4	0.1297134238310	9	Breite	2025
19	0.1529411764700	10	Kleinhüningen	2025
10	0.1656399726210	11	Iselin	2025
3	0.1899581589950	12	Am Ring	2025
11	0.2436647173480	13	St. Johann	2025
5	0.3327800829870	14	St. Alban	2025
14	0.3338028169010	15	Wettstein	2025
9	0.3622448979590	16	Gotthelf	2025
8	0.5561752988040	17	Bachletten	2025
20	0.6545284780570	18	Riehen	2025
15	0.6919698870760	19	Hirzbrunnen	2025
7	0.7197542533080	20	Bruderholz	2025
30	0.7746913580240	21	Bettingen	2025
