Wohnviertel_Id	Fläche pro Wohnung	Rang	Wohnviertel	jahr_num
18	65.596241611	1	Klybeck	2015
13	67.242647059	2	Clara	2015
17	67.272074741	3	Matthäus	2015
10	68.61622807	4	Iselin	2015
16	69.534114202	5	Rosental	2015
4	69.808843406	6	Breite	2015
19	70.403690037	7	Kleinhüningen	2015
6	70.454019874	8	Gundeldingen	2015
11	71.766733068	9	St. Johann	2015
12	72.425378041	10	Altstadt Kleinbasel	2015
9	75.194288504	11	Gotthelf	2015
15	81.240291262	12	Hirzbrunnen	2015
2	82.064324002	13	Vorstädte	2015
3	82.223343643	14	Am Ring	2015
14	83.063306699	15	Wettstein	2015
1	90.383055757	16	Altstadt Grossbasel	2015
8	93.209538376	17	Bachletten	2015
5	93.616527846	18	St. Alban	2015
20	102.8827326	19	Riehen	2015
7	109.42018349	20	Bruderholz	2015
30	121.24096386	21	Bettingen	2015
