wohnviertel_id	Wohnfläche pro Kopf	Rang	Wohnviertel	jahr_num
18	32.209171472780981	1	Klybeck	2019
19	32.607011070110701	2	Kleinhüningen	2019
16	34.513465723612622	3	Rosental	2019
17	35.749175361831033	4	Matthäus	2019
13	36.610416666666666	5	Clara	2019
10	36.682021600334148	6	Iselin	2019
11	36.732910100895590	7	St. Johann	2019
4	38.852427404718693	8	Breite	2019
15	38.983937486433687	9	Hirzbrunnen	2019
6	39.012817031445174	10	Gundeldingen	2019
9	41.421215242018537	11	Gotthelf	2019
12	43.256786826880284	12	Altstadt Kleinbasel	2019
3	45.404458288717998	13	Am Ring	2019
14	45.977107761027359	14	Wettstein	2019
8	46.154301353650417	15	Bachletten	2019
20	47.486109139097922	16	Riehen	2019
5	48.316412859560067	17	St. Alban	2019
7	48.376878987779820	18	Bruderholz	2019
2	50.367364016736401	19	Vorstädte	2019
1	52.648478995654273	20	Altstadt Grossbasel	2019
30	52.936813186813186	21	Bettingen	2019
