Wohnviertel_Id	Vermögenssteuer pro Veranlagung	Rang	Wohnviertel	jahr_num
18	162.1977333	1	Klybeck	2013
19	207.74610106	2	Kleinhüningen	2013
16	240.50197771	3	Rosental	2013
10	425.08366863	4	Iselin	2013
17	426.09984706	5	Matthäus	2013
13	436.89323843	6	Clara	2013
6	467.21327303	7	Gundeldingen	2013
4	482.15108977	8	Breite	2013
11	486.03965292	9	St. Johann	2013
15	681.39708738	10	Hirzbrunnen	2013
12	1123.2948052	11	Altstadt Kleinbasel	2013
14	1229.5143029	12	Wettstein	2013
8	1762.144018	13	Bachletten	2013
30	2844.7711599	14	Bettingen	2013
3	3212.0137397	15	Am Ring	2013
20	3296.1133034	16	Riehen	2013
9	3483.3688952	17	Gotthelf	2013
5	4206.1965759	18	St. Alban	2013
1	5188.1848894	19	Altstadt Grossbasel	2013
2	7828.9125886	20	Vorstädte	2013
7	19314.398374	21	Bruderholz	2013
