wohnviertel_id	Einkommenssteuer pro Veranlagung	Rang	Wohnviertel	jahr_num
18	4303.5488173	1	Klybeck	2017
19	5008.7700706	2	Kleinhüningen	2017
13	6316.6652961	3	Clara	2017
10	6361.3300306	4	Iselin	2017
17	6539.7952651	5	Matthäus	2017
11	6774.0039745	6	St. Johann	2017
16	7020.280251	7	Rosental	2017
4	7473.7566459	8	Breite	2017
6	7492.6236362	9	Gundeldingen	2017
15	7831.7899982	10	Hirzbrunnen	2017
9	9091.0904773	11	Gotthelf	2017
12	9272.3190416	12	Altstadt Kleinbasel	2017
14	11344.566364	13	Wettstein	2017
3	11861.725433	14	Am Ring	2017
8	12188.763138	15	Bachletten	2017
20	12931.639783	16	Riehen	2017
5	16151.844027	17	St. Alban	2017
1	16423.081464	18	Altstadt Grossbasel	2017
7	16867.689036	19	Bruderholz	2017
2	16909.705491	20	Vorstädte	2017
30	21092.429712	21	Bettingen	2017
