"Wohnviertel_id"	"Erwerbstätigenquote"	"Rang"	"Wohnviertel"	"jahr_num"
19	0.5618831	1	"Kleinhüningen"	"2019-2023"
18	0.635593	2	"Klybeck"	"2019-2023"
10	0.6930883	3	"Iselin"	"2019-2023"
4	0.6953152	4	"Breite"	"2019-2023"
20	0.6957764	5	"Riehen"	"2019-2023"
30	0.6957764	5	"Bettingen"	"2019-2023"
16	0.706851	7	"Rosental"	"2019-2023"
7	0.7159997	8	"Bruderholz"	"2019-2023"
11	0.7174091	9	"St. Johann"	"2019-2023"
13	0.7198746	10	"Clara"	"2019-2023"
17	0.7282629	11	"Matthäus"	"2019-2023"
5	0.7304275	12	"St. Alban"	"2019-2023"
2	0.7422008	13	"Vorstädte"	"2019-2023"
15	0.7457326	14	"Hirzbrunnen"	"2019-2023"
8	0.7521343	15	"Bachletten"	"2019-2023"
6	0.7584348	16	"Gundeldingen"	"2019-2023"
9	0.7664509	17	"Gotthelf"	"2019-2023"
1	0.7768004	18	"Altstadt Grossbasel"	"2019-2023"
12	0.7848757	19	"Altstadt Kleinbasel"	"2019-2023"
3	0.7858827	20	"Am Ring"	"2019-2023"
14	0.8062193	21	"Wettstein"	"2019-2023"

