"Wohnviertel_id"	"Arbeitsplätze pro Kopf"	"Rang"	"Wohnviertel"	"jahr_num"
7	0.1259349	1	"Bruderholz"	2022
4	0.1335945	2	"Breite"	2022
20	0.1602415	3	"Riehen"	2022
30	0.1682024	4	"Bettingen"	2022
10	0.1701474	5	"Iselin"	2022
17	0.1707404	6	"Matthäus"	2022
8	0.1877518	7	"Bachletten"	2022
15	0.2741092	8	"Hirzbrunnen"	2022
9	0.277503	9	"Gotthelf"	2022
18	0.4747587	10	"Klybeck"	2022
13	0.5112475	11	"Clara"	2022
6	0.614486	12	"Gundeldingen"	2022
16	0.6423468	13	"Rosental"	2022
3	0.9756945	14	"Am Ring"	2022
11	1.0291006	15	"St. Johann"	2022
12	1.723828	16	"Altstadt Kleinbasel"	2022
14	1.850965	17	"Wettstein"	2022
5	2.3216055	18	"St. Alban"	2022
19	2.6768757	19	"Kleinhüningen"	2022
1	3.6268679	20	"Altstadt Grossbasel"	2022
2	4.6147369	21	"Vorstädte"	2022

