wohnviertel_id	Arbeitslosenquote	Rang	wohnviertel	jahr_num
20	0.0193855888	1	Riehen	2016
30	0.0193855888	1	Bettingen	2016
8	0.0241987109	3	Bachletten	2016
2	0.0242808282	4	Vorstädte	2016
7	0.0251482114	5	Bruderholz	2016
1	0.0257474605	6	Altstadt Grossbasel	2016
5	0.0295674895	7	St. Alban	2016
3	0.0313845067	8	Am Ring	2016
9	0.0344512819	9	Gotthelf	2016
14	0.038280833	10	Wettstein	2016
15	0.0404742079	11	Hirzbrunnen	2016
6	0.0418457558	12	Gundeldingen	2016
4	0.0492950163	13	Breite	2016
10	0.0501539147	14	Iselin	2016
11	0.050458782	15	St. Johann	2016
13	0.0539961926	16	Clara	2016
12	0.0542989532	17	Altstadt Kleinbasel	2016
17	0.0555946177	18	Matthäus	2016
19	0.0631074121	19	Kleinhüningen	2016
16	0.0654724892	20	Rosental	2016
18	0.0719648949	21	Klybeck	2016
