Jahr	Sehr gut	Gut	Eher nicht so gut	Gar nicht gut	Weiss nicht	Keine Angabe
18-29	82.75072	105.57211	19.27051	7.39651	4.17041	96.80011
30-39	114.04358	119.77584	27.73076	6.37671	0	93.02746
40-49	109.02169	180.75469	24.60158	4.93248	2.88847	68.87282
50-59	80.51380	131.24341	25.14985	4.06779	3.97958	42.69557
60-69	73.89434	196.17625	30.54316	9.87364	0.85529	25.06214
70 u.m.	62.39107	216.74929	51.33274	8.89754	0	22.58811
.					
2003	608	684	164	37	4	0
2005	685	654	151	19	1	0
2007	616	690	182	20	1	0
2011	704.81082	631.35202	143.69650	35.39023	0.75042	0
2015	652.23566	673.18340	138.25526	39.83428	2.49140	0
2019	696.34910	1096	220.78194	38.89592	16.93017	38.99659
2023	522.61519	950.27159	178.62860	41.54467	11.89374	349.04621
