Schuljahr	1. Klasse CH Knaben	1. Klasse CH Mädchen	1. Klasse Ausland Knaben	1. Klasse Ausland Mädchen	3. Klasse CH Knaben	3. Klasse CH Mädchen	3. Klasse Ausland Knaben	3. Klasse Ausland Mädchen	9. Klasse CH Knaben	9. Klasse CH Mädchen	9. Klasse Ausland Knaben	9. Klasse Ausland Mädchen
1978/79	5	8	13	23	9	9	20	19	7	10	11	9
1988/89	6	8	15	17	11	10	21	26	13	8	21	24
1998/99	9	13	16	20	16	23	36	30	18	14	29	24
1999/00	11	14	18	20	20	21	33	32	19	15	29	26
2000/01	9	10	21	20	19	21	27	35	20	15	30	25
2001/02	7	11	22	20	18	21	32	27	19	17	32	28
2002/03	10	7	21	25	20	22	32	30	23	18	28	24
2003/04	10	9	20	21	22	21	36	31	20	18	37	32
2004/05	9	12	21	21	22	21	38	28	24	18	38	34
2005/06	8	12	19	24	15	20	34	32	16	16	34	30
2006/07	10	12	19	15	18	20	37	36	24	17	32	26
2007/08	9	10	14	21	16	17	31	34	24	19	38	25
2008/09	9	11	16	16	20	19	31	28	24	17	36	34
2009/10	7	10	17	20	19	22	33	34	28	18	39	29
2010/11	11	12	19	20	19	21	32	24	24	22	42	22
2011/12	8	14	16	18	21	20	33	28	27	21	44	30
2012/13	9	11	14	18	21	14	29	25	25	18	32	33
2013/14	9	12	14	19	18	21	31	30	23	18	33	24
2014/15	11	8	13	11	20	23	28	29	24	19	40	31
